135,1014,1999,SOPC,0,74,NULL
136,1014,1999,SOSO,0,37,NULL
137,1014,1999,SOTR,0,182,NULL
138,1014,1999,SOVA,0,18,NULL
139,1014,1999,SCOR,0,1,NULL
140,1015,1999,ZATR,0,26,NULL
141,1015,1999,SYBA,0,1,NULL
142,1015,1999,MYCA,0,4,NULL
143,1015,1999,MIOR,0,74,NULL
144,1015,1999,NEFU,0,35,NULL
145,1015,1999,PEMA,0,1293,NULL
146,1015,1999,MUER,0,8,NULL
147,1015,1999,SPBE,0,7,NULL
148,1015,1999,TATO,0,336,NULL
149,1015,1999,SOBA,0,14,NULL
150,1015,1999,SOPC,0,43,NULL
151,1015,1999,SOSO,0,23,NULL
152,1015,1999,SOTR,0,145,NULL
153,1015,1999,SOVA,0,34,NULL
154,1016,1999,ZATR,0,10,NULL
155,1016,1999,MYCA,0,137,NULL
156,1016,1999,NEFU,0,52,NULL
157,1016,1999,PEMA,0,1158,NULL
158,1016,1999,MUER,0,11,NULL
159,1016,1999,SPBE,0,12,NULL
160,1016,1999,TATO,0,208,NULL
161,1016,1999,SOBA,0,8,NULL
162,1016,1999,SOPC,0,18,NULL
163,1016,1999,SOSO,0,18,NULL
164,1016,1999,SOTR,0,111,NULL
165,1016,1999,SOVA,0,80,NULL
166,1017,1999,ZATR,0,8,NULL
167,1017,1999,SYBA,0,3,NULL
168,1017,1999,MYCA,0,25,NULL
169,1017,1999,MIOR,0,64,NULL
170,1017,1999,NEFU,0,29,NULL
171,1017,1999,PEMA,0,1047,NULL
172,1017,1999,MUER,0,8,NULL
173,1017,1999,GLSA,0,21,NULL
174,1017,1999,SPBE,0,1,NULL
175,1017,1999,TATO,0,350,NULL
176,1017,1999,TADO,0,13,NULL
177,1017,1999,NEGI,0,4,NULL
178,1017,1999,SOBA,0,24,NULL
179,1017,1999,SOPC,0,87,NULL
180,1017,1999,SOSO,0,24,NULL
181,1017,1999,SOTR,0,281,NULL
182,1017,1999,SOVA,0,16,NULL
183,1017,1999,SCOR,0,2,NULL
184,1018,1999,ZATR,0,5,NULL
185,1018,1999,SYBA,0,2,NULL
186,1018,1999,MYCA,0,35,NULL
187,1018,1999,MIOR,0,109,NULL
188,1018,1999,MUMU,0,1,NULL
189,1018,1999,NECI,0,1,NULL
190,1018,1999,NEFU,0,25,NULL
191,1018,1999,PEMA,0,1045,NULL
192,1018,1999,MUER,0,5,NULL
193,1018,1999,GLSA,0,36,NULL
194,1018,1999,SPBE,0,1,NULL
195,1018,1999,TATO,0,336,NULL
