Institution,Discipline,Last,First,City,Gender,Region,Macro
CATANIA,MED,CATANZARO,Roberto,Catania,M,Sicilia,Sicilia
della CALABRIA,ING-IND,CATAPANO,Gerardo,Arcavacata,M,Calabria,Sud
FERRARA,MED,CATAPANO,Santo,Ferrara,M,Emilia-Romagna,Nord
MILANO,BIO,CATAPANO,Alberico Luigi,Milano,M,Lombardia,Nord
PADOVA,M-FIL,CATAPANO,Giovanni,Padova,M,Veneto,Nord
Seconda Univ. NAPOLI,MED,CATAPANO,Francesco,Napoli,M,Campania,Sud
CATANIA,AGR,CATARA,Antonino,Catania,M,Sicilia,Sicilia
CATANIA,FIS,CATARA,Francesco,Catania,M,Sicilia,Sicilia
CATANIA,AGR,CATARA,Vittoria,Catania,F,Sicilia,Sicilia
"ROMA \La Sapienza\\\\\""""",ING-INF,CATARCI,Tiziana,Roma,F,Lazio,Centro
ROMA TRE,M-PED,CATARCI,Marco,Roma,M,Lazio,Centro
FOGGIA,L-FIL-LET,CATARINELLA,Francesca Maria,Foggia,F,Puglia,Sud
SALENTO,ING-INF,CATARINUCCI,Luca,Lecce,M,Puglia,Sud
FIRENZE,SPS,CATARSI,Carlo,Firenze,M,Toscana,Centro
FIRENZE,M-PED,CATARSI,Enzo,Firenze,M,Toscana,Centro
FIRENZE,CHIM,CATARZI,Daniela,Firenze,F,Toscana,Centro
Politecnica delle MARCHE,MED,CATASSI,Carlo,Ancona,M,Marche,Centro
"ROMA \La Sapienza\\\\\""""",L-OR,CATASTINI,Alessandro,Roma,M,Lazio,Centro
CAGLIARI,M-PSI,CATAUDELLA,Stefania,Cagliari,F,Sardegna,Sardegna
FIRENZE,L-ANT,CATAUDELLA,Michele,Firenze,M,Toscana,Centro
"NAPOLI \Federico II\\\\\""""",FIS,CATAUDELLA,Vittorio,Napoli,M,Campania,Sud
"ROMA \Tor Vergata\\\\\""""",IUS,CATAUDELLA,Maria Cristina,Roma,F,Lazio,Centro
"ROMA \Tor Vergata\\\\\""""",BIO,CATAUDELLA,Stefano,Roma,M,Lazio,Centro
Seconda Univ. NAPOLI,CHIM,CATAURO,Michelina,Napoli,F,Campania,Sud
FIRENZE,MED,CATELAN,Dolores,Firenze,F,Toscana,Centro
FIRENZE,SECS-P,CATELANI,Edoardo,Firenze,M,Toscana,Centro
FIRENZE,ING-INF,CATELANI,Marcantonio,Firenze,M,Toscana,Centro
PISA,IUS,CATELANI,Elisabetta,Pisa,F,Toscana,Centro
PISA,CHIM,CATELANI,Giorgio,Pisa,M,Toscana,Centro
SIENA,IUS,CATELANI,Alessandro,Siena,M,Toscana,Centro
Cattolica del Sacro Cuore,M-PSI,CATELLANI,Patrizia,Milano,F,Lombardia,Nord
PADOVA,VET,CATELLANI,Paolo,Padova,M,Veneto,Nord
PARMA,CHIM,CATELLANI,Marta,Parma,F,Emilia-Romagna,Nord
BOLOGNA,VET,CATELLI,Elena,Bologna,F,Emilia-Romagna,Nord
CATANIA,SPS,CATELLI,Giampaolo,Catania,M,Sicilia,Sicilia
"NAPOLI \Federico II\\\\\""""",M-FIL,CATENA,Maria Teresa,Napoli,F,Campania,Sud
UDINE,MED,CATENA,Cristiana,Udine,F,Friuli-Venezia-Giulia,Nord
CHIETI-PESCARA,L-FIL-LET,CATENACCI,Carmine,Chieti,M,Abruzzo,Sud
CHIETI-PESCARA,MED,CATENACCI,Norberto,Chieti,M,Abruzzo,Sud
PAVIA,CHIM,CATENACCI,Laura,Pavia,F,Lombardia,Nord
PIEMONTE ORIENTALE,MAT,CATENACCI,Roberto,Vercelli,M,Piemonte,Nord
ROMA TRE,IUS,CATENACCI,Mauro,Roma,M,Lazio,Centro
MILANO,L-LIN,CATENACCIO,Paola,Milano,F,Lombardia,Nord
TRIESTE,CHIM,CATENI,Francesca,Trieste,F,Friuli-Venezia-Giulia,Nord
BOLOGNA,M-PSI,CATERINA,Roberto,Bologna,M,Emilia-Romagna,Nord
L Orientale di NAPOLI,L-OR,CATERINA,Lucia,Napoli,F,Campania,Sud
"NAPOLI \Federico II\\\\\""""",ICAR,CATERINA,Gabriella,Napoli,F,Campania,Sud
SALERNO,M-GGR,CATERINA,Giulio,Salerno,M,Campania,Sud
TORINO,IUS,CATERINA,Raffaele,Torino,M,Piemonte,Nord
della CALABRIA,IUS,CATERINI,Enrico,Arcavacata,M,Calabria,Sud
della CALABRIA,IUS,CATERINI,Mario,Arcavacata,M,Calabria,Sud
"ROMA \Tor Vergata\\\\\""""",MED,CATERINI,Roberto,Roma,M,Lazio,Centro
BARI,IUS,CATERINO,Daniela,Bari,F,Puglia,Sud
Parthenope di NAPOLI,ICAR,CATERINO,Nicola,Napoli,M,Campania,Sud
PERUGIA,MAT,CATERINO,Alessandro,Perugia,M,Umbria,Centro
"ROMA \La Sapienza\\\\\""""",MED,CATERINO,Salvatore,Roma,M,Lazio,Centro
MILANO-BICOCCA,SPS,CATINO,Maurizio,Milano,M,Lombardia,Nord
SALENTO,MAT,CATINO,Francesco,Lecce,M,Puglia,Sud
BOLOGNA,AGR,CATIZONE,Pietro,Bologna,M,Emilia-Romagna,Nord
"ROMA \La Sapienza\\\\\""""",BIO,CATIZONE,Angiolina,Roma,F,Lazio,Centro
"ROMA \La Sapienza\\\\\""""",ICAR,CATIZZONE,Antonio,Roma,M,Lazio,Centro
Stranieri di PERUGIA,L-ART,CATOLFI,Antonio,Perugia,M,Umbria,Centro
CAMERINO,VET,CATONE,Giuseppe,Camerino,M,Marche,Centro
CAMERINO,BIO,CATORCI,Andrea,Camerino,M,Marche,Centro
ROMA TRE,L-LIN,CATRICALA,Maria,Roma,F,Lazio,Centro
MILANO,BIO,CATTABENI,Flaminio,Milano,M,Lombardia,Nord
FIRENZE,M-PED,CATTABRINI,Umberto,Firenze,M,Toscana,Centro
CAGLIARI,M-FIL,CATTANEI,Elisabetta,Cagliari,F,Sardegna,Sardegna
GENOVA,ING-IND,CATTANEI,Andrea Francesco,Genova,M,Liguria,Nord
BERGAMO,SECS-P,CATTANEO,Cristiana,Bergamo,F,Lombardia,Nord
BRESCIA,MED,CATTANEO,Roberto,Brescia,M,Lombardia,Nord
Cattolica del Sacro Cuore,L-LIN,CATTANEO,Arturo,Milano,M,Lombardia,Nord
LIUC - CASTELLANZA,IUS,CATTANEO,Alberto,Castellanza,M,Lombardia,Nord
MILANO,MED,CATTANEO,Cristina,Milano,F,Lombardia,Nord
MILANO,AGR,CATTANEO,Donata,Milano,F,Lombardia,Nord
MILANO,BIO,CATTANEO,Elena,Milano,F,Lombardia,Nord
MILANO,MED,CATTANEO,Marco Natale,Milano,M,Lombardia,Nord
MILANO,BIO,CATTANEO,Maria Grazia,Milano,F,Lombardia,Nord
MILANO,VET,CATTANEO,Patrizia,Milano,F,Lombardia,Nord
MILANO,AGR,CATTANEO,Stefano,Milano,M,Lombardia,Nord
MILANO-BICOCCA,M-PSI,CATTANEO,Zaira,Milano,F,Lombardia,Nord
"NAPOLI \Federico II\\\\\""""",M-STO,CATTANEO,Massimo,Napoli,M,Campania,Sud
PADOVA,AGR,CATTANEO,Dina,Padova,F,Veneto,Nord
Parthenope di NAPOLI,M-PSI,CATTANEO,Maria Teresa,Napoli,F,Campania,Sud
PAVIA,SECS-P,CATTANEO,Carla Bruna,Pavia,F,Lombardia,Nord
PAVIA,ICAR,CATTANEO,Tiziano,Pavia,M,Lombardia,Nord
PAVIA,MED,CATTANEO,Vitaliano,Pavia,M,Lombardia,Nord
Politecnico di MILANO,ICAR,CATTANEO,Sara,Milano,F,Lombardia,Nord
"ROMA \La Sapienza\\\\\""""",SPS,CATTANEO,Angela,Roma,F,Lazio,Centro
SALERNO,INF,CATTANEO,Giuseppe,Salerno,M,Campania,Sud
Scuola Normale Superiore di PISA,BIO,CATTANEO,Antonino,Pisa,M,Toscana,Centro
GENOVA,BIO,CATTANEOVIETTI,Riccardo,Genova,M,Liguria,Nord
BOLOGNA,L-ANT,CATTANI,Maurizio,Bologna,M,Emilia-Romagna,Nord
Cattolica del Sacro Cuore,MED,CATTANI,Paola,Milano,F,Lombardia,Nord
PADOVA,M-FIL,CATTANI,Adelino,Padova,M,Veneto,Nord
SALERNO,MAT,CATTANI,Carlo,Salerno,M,Campania,Sud
SASSARI,L-LIN,CATTANI,Alessandra,Sassari,F,Sardegna,Sardegna
PADOVA,FIS,CATTAPAN,Giorgio,Padova,M,Veneto,Nord
UDINE,SPS,CATTARINUSSI,Bernardo,Udine,M,Friuli-Venezia-Giulia,Nord
ROMA TRE,L-LIN,CATTARULLA,Camilla,Roma,F,Lazio,Centro
Ca Foscari VENEZIA,FIS,CATTARUZZA,Elti,Venezia,F,Veneto,Nord
"ROMA \La Sapienza\\\\\""""",MED,CATTARUZZA,Maria Sofia,Roma,F,Lazio,Centro
TRIESTE,M-FIL,CATTARUZZA,Serena,Trieste,F,Friuli-Venezia-Giulia,Nord
CAGLIARI,SECS-P,CATTE,Antonio,Cagliari,M,Sardegna,Sardegna
TORINO,CHIM,CATTEL,Luigi,Torino,M,Piemonte,Nord
VALLE D AOSTA,M-PSI,CATTELINO,Elena,Aosta,F,Val-d-Aosta,Nord
PIEMONTE ORIENTALE,SPS,CATTERO,Bruno,Vercelli,M,Piemonte,Nord
PERUGIA,MED,CATTERUCCIA,Flaminia,Perugia,F,Umbria,Centro
MILANO-BICOCCA,CHIM,CATTI,Michele,Milano,M,Lombardia,Nord
TRIESTE,MED,CATTIN,Luigi,Trieste,M,Friuli-Venezia-Giulia,Nord
Bocconi MILANO,SECS-P,CATTINI,Marco,Milano,M,Lombardia,Nord
BARI,CHIM,CATTO,Marco,Bari,M,Puglia,Sud
"Univ. Telematica \E-CAMPUS\\\\\""""",ICAR,CATTONI,Elisabetta,Roma,F,Lazio,Centro
MILANO-BICOCCA,MED,CATTORETTI,Giorgio,Milano,M,Lombardia,Nord
INSUBRIA,MED,CATTORINI,Paolo Marino,Varese,M,Lombardia,Nord
SIENA,SECS-P,CATTURI,Giuseppe,Siena,M,Toscana,Centro
BARI,CHIM,CATUCCI,Lucia,Bari,F,Puglia,Sud
"ROMA \La Sapienza\\\\\""""",M-FIL,CATUCCI,Stefano,Roma,M,Lazio,Centro
"NAPOLI \Federico II\\\\\""""",SECS-P,CATUOGNO,Simona,Napoli,F,Campania,Sud
"NAPOLI \Federico II\\\\\""""",ICAR,CATURANO,Umberto,Napoli,M,Campania,Sud
CAGLIARI,BIO,CAU,Angelo,Cagliari,M,Sardegna,Sardegna
CAGLIARI,ING-IND,CAU,Giorgio,Cagliari,M,Sardegna,Sardegna
CAGLIARI,M-GGR,CAU,Luciano,Cagliari,M,Sardegna,Sardegna
FIRENZE,L-LIN,CAUCCIVONSAUCKEN,Jacopo Aldighiero,Firenze,M,Toscana,Centro
PERUGIA,L-LIN,CAUCCIVONSAUCKEN,Paolo Giuseppe,Perugia,M,Umbria,Centro
UDINE,BIO,CAUCI,Sabina,Udine,F,Friuli-Venezia-Giulia,Nord
PAVIA,GEO,CAUCIA,Franca Piera,Pavia,F,Lombardia,Nord
Cattolica del Sacro Cuore,MED,CAUDA,Roberto,Milano,M,Lombardia,Nord
FIRENZE,M-PSI,CAUDEK,Corrado,Firenze,M,Toscana,Centro
ROMA TRE,ICAR,CAUDO,Giovanni,Roma,M,Lazio,Centro
CAGLIARI,MED,CAULI,Alberto,Cagliari,M,Sardegna,Sardegna
CHIETI-PESCARA,MED,CAULO,Massimo,Chieti,M,Abruzzo,Sud
CATANIA,MAT,CAUSA,Antonio,Catania,M,Sicilia,Sicilia
"NAPOLI \Federico II\\\\\""""",ING-IND,CAUSA,Filippo,Napoli,M,Campania,Sud
"NAPOLI \Federico II\\\\\""""",CHIM,CAUSA,Mauro,Napoli,M,Campania,Sud
Suor Orsola Benincasa - NAPOLI,L-ART,CAUSA,Stefano,Napoli,M,Campania,Sud
FIRENZE,M-PED,CAUSARANO,Pietro,Firenze,M,Toscana,Centro
UDINE,MED,CAUSERO,Araldo,Udine,M,Friuli-Venezia-Giulia,Nord
ROMA TRE,SECS-P,CAUSI,Marco,Roma,M,Lazio,Centro
MILANO,MAT,CAUSIN,Paola,Milano,F,Lombardia,Nord
PADOVA,AGR,CAUSIN,Roberto,Padova,M,Veneto,Nord
PADOVA,CHIM,CAUSIN,Valerio,Padova,M,Veneto,Nord
SASSARI,MAT,CAUSIN,Andrea,Sassari,M,Sardegna,Sardegna
BARI,MED,CAUSIO,Franco,Bari,M,Puglia,Sud
Politecnico di MILANO,ICAR,CAUTELA,Cabirio,Milano,M,Lombardia,Nord
Politecnica delle MARCHE,MED,CAUTERO,Nicola,Ancona,M,Marche,Centro
UDINE,FIS,CAUZ,Diego,Udine,M,Friuli-Venezia-Giulia,Nord
PARMA,CHIM,CAUZZI,Daniele Alessandro,Parma,M,Emilia-Romagna,Nord
CASSINO,ING-IND,CAVACECE,Massimo,Cassino,M,Lazio,Centro
PADOVA,L-ANT,CAVAGGIONI,Francesca,Padova,F,Veneto,Nord
"ROMA \La Sapienza\\\\\""""",MED,CAVAGGIONI,Gabriele,Roma,M,Lazio,Centro
Politecnico di TORINO,ICAR,CAVAGLIA,Gianfranco,Torino,M,Piemonte,Nord
GENOVA,L-ART,CAVAGLIERI,Livia,Genova,F,Liguria,Nord
GENOVA,M-STO,CAVAGNA,Anna Giulia,Genova,F,Liguria,Nord
PAVIA,MED,CAVAGNA,Lorenzo,Pavia,M,Lombardia,Nord
"ROMA \La Sapienza\\\\\""""",ING-INF,CAVAGNARO,Marta,Roma,F,Lazio,Centro
MILANO,MED,CAVAGNINI,Francesco,Milano,M,Lombardia,Nord
Politecnico di TORINO,ING-IND,CAVAGNINO,Andrea,Torino,M,Piemonte,Nord
TORINO,INF,CAVAGNINO,Davide,Torino,M,Piemonte,Nord
MACERATA,L-LIN,CAVAGNOLI,Stefania,Macerata,F,Marche,Centro
MILANO,L-FIL-LET,CAVAJONI,Giuseppe Angelo,Milano,M,Lombardia,Nord
PERUGIA,IUS,CAVALAGLIO,Adelmo,Perugia,M,Umbria,Centro
MILANO,AGR,CAVALCA,Lucia,Milano,F,Lombardia,Nord
MILANO,BIO,CAVALCA,Viviana Maria,Milano,F,Lombardia,Nord
"NAPOLI \Federico II\\\\\""""",SECS-P,CAVALCANTI,Maria Luisa,Napoli,F,Campania,Sud
BOLOGNA,FIS,CAVALCOLI,Daniela,Bologna,F,Emilia-Romagna,Nord
PALERMO,ICAR,CAVALERI,Liborio,Palermo,M,Sicilia,Sicilia
VERONA,IUS,CAVALERI,Paolo,Verona,M,Veneto,Nord
MILANO-BICOCCA,BIO,CAVALETTI,Guido Angelo,Milano,M,Lombardia,Nord
PIEMONTE ORIENTALE,BIO,CAVALETTO,Maria,Vercelli,F,Piemonte,Nord
BOLOGNA,SECS-P,CAVALIERE,Giuseppe,Bologna,M,Emilia-Romagna,Nord
BOLOGNA,BIO,CAVALIERE,Valeria,Bologna,F,Emilia-Romagna,Nord
Cattolica del Sacro Cuore,MED,CAVALIERE,Franco,Milano,M,Lombardia,Nord
FIRENZE,SECS-P,CAVALIERE,Vincenzo,Firenze,M,Toscana,Centro
GENOVA,MAT,CAVALIERE,Maria Pia,Genova,F,Liguria,Nord
MESSINA,MED,CAVALIERE,Riccardo,Messina,M,Sicilia,Sicilia
"NAPOLI \Federico II\\\\\""""",IUS,CAVALIERE,Antonio,Napoli,M,Campania,Sud
"NAPOLI \Federico II\\\\\""""",ING-IND,CAVALIERE,Antonio,Napoli,M,Campania,Sud
"NAPOLI \Federico II\\\\\""""",L-LIN,CAVALIERE,Flavia,Napoli,F,Campania,Sud
"NAPOLI \Federico II\\\\\""""",MED,CAVALIERE,Michele,Napoli,M,Campania,Sud
"NAPOLI \Federico II\\\\\""""",M-FIL,CAVALIERE,Renata,Napoli,F,Campania,Sud
"NAPOLI \Federico II\\\\\""""",INF,CAVALIERE,Sergio,Napoli,M,Campania,Sud
PAVIA,SECS-P,CAVALIERE,Alberto,Pavia,M,Lombardia,Nord
PERUGIA,MED,CAVALIERE,Antonio,Perugia,M,Umbria,Centro
"ROMA \La Sapienza\\\\\""""",CHIM,CAVALIERE,Chiara,Roma,F,Lazio,Centro
SALENTO,IUS,CAVALIERE,Bianca Maria,Lecce,F,Puglia,Sud
SALENTO,FIS,CAVALIERE,Paolo,Lecce,M,Puglia,Sud
SALENTO,ING-IND,CAVALIERE,Pasquale Daniele,Lecce,M,Puglia,Sud
SALERNO,MAT,CAVALIERE,Paola,Salerno,F,Campania,Sud
TORINO,IUS,CAVALIERE,Tilde Maria,Torino,F,Piemonte,Nord
BERGAMO,ING-IND,CAVALIERI,Sergio,Bergamo,M,Lombardia,Nord
Ca Foscari VENEZIA,IUS,CAVALIERI,Renzo Riccardo,Venezia,M,Veneto,Nord
CATANIA,SECS-P,CAVALIERI,Marina,Catania,F,Sicilia,Sicilia
CATANIA,ING-INF,CAVALIERI,Salvatore,Catania,M,Sicilia,Sicilia
FIRENZE,BIO,CAVALIERI,Duccio,Firenze,M,Toscana,Centro
FIRENZE,FIS,CAVALIERI,Stefano,Firenze,M,Toscana,Centro
MESSINA,M-FIL,CAVALIERI,Rosalia,Messina,F,Sicilia,Sicilia
PALERMO,BIO,CAVALIERI,Vincenzo,Palermo,M,Sicilia,Sicilia
"ROMA \Tor Vergata\\\\\""""",SECS-P,CAVALIERI,Enrico,Roma,M,Lazio,Centro
"ROMA \Tor Vergata\\\\\""""",CHIM,CAVALIERI,Francesca,Roma,F,Lazio,Centro
"ROMA \Tor Vergata\\\\\""""",SECS-P,CAVALIERI,Matteo,Roma,M,Lazio,Centro
PADOVA,IUS,CAVALLA,Francesco,Padova,M,Veneto,Nord
BOLOGNA,CHIM,CAVALLARI,Cristina,Bologna,F,Emilia-Romagna,Nord
CHIETI-PESCARA,ICAR,CAVALLARI,Luigi,Chieti,M,Abruzzo,Sud
MESSINA,MED,CAVALLARI,Vittorio,Messina,M,Sicilia,Sicilia
MILANO,BIO,CAVALLARI,Paolo,Milano,M,Lombardia,Nord
"ROMA \La Sapienza\\\\\""""",ICAR,CAVALLARI,Paolo,Roma,M,Lazio,Centro
"ROMA \Tor Vergata\\\\\""""",SPS,CAVALLARI,Giovanna,Roma,F,Lazio,Centro
ROMA TRE,SECS-P,CAVALLARI,Lilia,Roma,F,Lazio,Centro
BARI,BIO,CAVALLARO,Viviana,Bari,F,Puglia,Sud
CATANIA,ING-IND,CAVALLARO,Calogero,Catania,M,Sicilia,Sicilia
CATANIA,SPS,CAVALLARO,Maria Rita,Catania,F,Sicilia,Sicilia
CATANIA,IUS,CAVALLARO,Michela Maria Bernardetta,Catania,F,Sicilia,Sicilia
CATANIA,MED,CAVALLARO,Nicolo Rosario,Catania,M,Sicilia,Sicilia
CATANIA,FIS,CAVALLARO,Salvatore,Catania,M,Sicilia,Sicilia
CATANIA,MED,CAVALLARO,Vincenzo,Catania,M,Sicilia,Sicilia
FERRARA,IUS,CAVALLARO,Giovanna,Ferrara,F,Emilia-Romagna,Nord
MESSINA,MED,CAVALLARO,Antonia,Messina,F,Sicilia,Sicilia
MESSINA,MED,CAVALLARO,Giuseppe,Messina,M,Sicilia,Sicilia
MESSINA,CHIM,CAVALLARO,Stefano,Messina,M,Sicilia,Sicilia
MOLISE,SECS-P,CAVALLARO,Fausto,Campobasso,M,Molise,Sud
PALERMO,CHIM,CAVALLARO,Gennara,Palermo,F,Sicilia,Sicilia
PALERMO,IUS,CAVALLARO,Maria Cristina,Palermo,F,Sicilia,Sicilia
"ROMA \La Sapienza\\\\\""""",L-ART,CAVALLARO,Anna Maria,Roma,F,Lazio,Centro
"ROMA \La Sapienza\\\\\""""",SECS-P,CAVALLARO,Eleonora,Roma,F,Lazio,Centro
"ROMA \La Sapienza\\\\\""""",MED,CAVALLARO,Giuseppe,Roma,M,Lazio,Centro
"ROMA \La Sapienza\\\\\""""",MAT,CAVALLARO,Guido,Roma,M,Lazio,Centro
"ROMA \La Sapienza\\\\\""""",SPS,CAVALLARO,Renato,Roma,M,Lazio,Centro
"ROMA \Tor Vergata\\\\\""""",L-ANT,CAVALLARO,Maria Adele,Roma,F,Lazio,Centro
Scuola IMT - LUCCA,SPS,CAVALLARO,Maria Elena,Lucca,F,Toscana,Centro
TORINO,M-STO,CAVALLARO,Cristina,Torino,F,Piemonte,Nord
CHIETI-PESCARA,M-PSI,CAVALLERA,Guido Maria,Chieti,M,Abruzzo,Sud
MILANO,M-STO,CAVALLERA,Marina,Milano,F,Lombardia,Nord
SALENTO,M-PED,CAVALLERA,Herve Antonio,Lecce,M,Puglia,Sud
GENOVA,FIS,CAVALLERI,Ornella,Genova,F,Liguria,Nord
VERONA,MED,CAVALLERI,Giacomo,Verona,M,Veneto,Nord
FIRENZE,M-PSI,CAVALLERO,Paola Adelaide Maria Teresa,Firenze,F,Toscana,Centro
TORINO,AGR,CAVALLERO,Andrea,Torino,M,Piemonte,Nord
TRIESTE,M-PSI,CAVALLERO,Corrado,Trieste,M,Friuli-Venezia-Giulia,Nord
TUSCIA,L-ART,CAVALLERO,Daniela,Viterbo,F,Lazio,Centro
FERRARA,MED,CAVALLESCO,Narciso Giorgio,Ferrara,M,Emilia-Romagna,Nord
GENOVA,SECS-P,CAVALLETTI,Barbara,Genova,F,Liguria,Nord
"ROMA \La Sapienza\\\\\""""",MED,CAVALLETTI,Cristina,Roma,F,Lazio,Centro
BARI,VET,CAVALLI,Alessandra,Bari,F,Puglia,Sud
BERGAMO,SECS-S,CAVALLI,Enrico Nicola,Bergamo,M,Lombardia,Nord
BOLOGNA,CHIM,CAVALLI,Andrea,Bologna,M,Emilia-Romagna,Nord
MILANO,L-FIL-LET,CAVALLI,Marina,Milano,F,Lombardia,Nord
PADOVA,AGR,CAVALLI,Raffaele,Padova,M,Veneto,Nord
PARMA,L-FIL-LET,CAVALLI,Annamaria,Parma,F,Emilia-Romagna,Nord
PARMA,CHIM,CAVALLI,Enrico,Parma,M,Emilia-Romagna,Nord
PERUGIA,CHIM,CAVALLI,Simonetta,Perugia,F,Umbria,Centro
TORINO,IUS,CAVALLI,Gino,Torino,M,Piemonte,Nord
TORINO,CHIM,CAVALLI,Roberta,Torino,F,Piemonte,Nord
"Univ. Telematica \E-CAMPUS\\\\\""""",M-PSI,CAVALLI,Giulia,Roma,F,Lazio,Centro
MILANO-BICOCCA,GEO,CAVALLIN,Angelo,Milano,M,Lombardia,Nord
BARI,L-LIN,CAVALLINI,Concetta,Bari,F,Puglia,Sud
Bocconi MILANO,IUS,CAVALLINI,Cesare,Milano,M,Lombardia,Nord
BOLOGNA,ING-IND,CAVALLINI,Andrea,Bologna,M,Emilia-Romagna,Nord
BOLOGNA,FIS,CAVALLINI,Anna,Bologna,F,Emilia-Romagna,Nord
BOLOGNA,IUS,CAVALLINI,Daniela,Bologna,F,Emilia-Romagna,Nord
BOLOGNA,L-FIL-LET,CAVALLINI,Eleonora,Bologna,F,Emilia-Romagna,Nord
CAGLIARI,IUS,CAVALLINI,Lucia,Cagliari,F,Sardegna,Sardegna
MILANO,M-PED,CAVALLINI,Graziano,Milano,M,Lombardia,Nord
MODENA e REGGIO EMILIA,MED,CAVALLINI,Gian Maria,Modena,M,Emilia-Romagna,Nord
PADOVA,BIO,CAVALLINI,Lucia,Padova,F,Veneto,Nord
PALERMO,L-ART,CAVALLINI,Ivano,Palermo,M,Sicilia,Sicilia
PISA,AGR,CAVALLINI,Andrea,Pisa,M,Toscana,Centro
PISA,MED,CAVALLINI,Gabriella,Pisa,F,Toscana,Centro
PISA,ING-IND,CAVALLINI,Giorgio,Pisa,M,Toscana,Centro
PISA,SECS-P,CAVALLINI,Iacopo,Pisa,M,Toscana,Centro
"ROMA \La Sapienza\\\\\""""",MED,CAVALLINI,Marco,Roma,M,Lazio,Centro
"ROMA \La Sapienza\\\\\""""",ING-IND,CAVALLINI,Mauro,Roma,M,Lazio,Centro
BARI,MED,CAVALLO,Luciano,Bari,M,Puglia,Sud
BASILICATA,FIS,CAVALLO,Nicola,Potenza,M,Basilicata,Sud
INSUBRIA,MED,CAVALLO,Domenico Maria Guido,Varese,M,Lombardia,Nord
MILANO-BICOCCA,GEO,CAVALLO,Alessandro,Milano,M,Lombardia,Nord
PERUGIA,IUS,CAVALLO,Bruno,Perugia,M,Umbria,Centro
PISA,M-FIL,CAVALLO,Tomaso,Pisa,M,Toscana,Centro
"ROMA \La Sapienza\\\\\""""",ING-INF,CAVALLO,Anna,Roma,F,Lazio,Centro
"ROMA \La Sapienza\\\\\""""",M-STO,CAVALLO,Guglielmo,Roma,M,Lazio,Centro
"ROMA \La Sapienza\\\\\""""",MED,CAVALLO,Maria Gisella,Roma,F,Lazio,Centro
SALERNO,CHIM,CAVALLO,Luigi,Salerno,M,Campania,Sud
SALERNO,MED,CAVALLO,Pierpaolo,Salerno,M,Campania,Sud
SALERNO,M-STO,CAVALLO,Pietro,Salerno,M,Campania,Sud
Seconda Univ. NAPOLI,ING-INF,CAVALLO,Alberto,Napoli,M,Campania,Sud
Seconda Univ. NAPOLI,MED,CAVALLO,Giovanni,Napoli,M,Campania,Sud
TORINO,MED,CAVALLO,Federica,Torino,F,Piemonte,Nord
TORINO,MED,CAVALLO,Federica,Torino,F,Piemonte,Nord
TORINO,MED,CAVALLO,Franco,Torino,M,Piemonte,Nord
TORINO,MED,CAVALLO,Giovanni,Torino,M,Piemonte,Nord
TORINO,MED,CAVALLO,Rossana,Torino,F,Piemonte,Nord
TUSCIA,L-LIN,CAVALLO,Angelo,Viterbo,M,Lazio,Centro
TORINO,IUS,CAVALLOPERIN,Roberto,Torino,M,Piemonte,Nord
TORINO,MED,CAVALLOPERINM.,Paolo Pier,Torino,M,Piemonte,Nord
BERGAMO,SECS-P,CAVALLONE,Mauro,Bergamo,M,Lombardia,Nord
MILANO,IUS,CAVALLONE,Bruno Carlo,Milano,M,Lombardia,Nord
MILANO,VET,CAVALLONE,Elena,Milano,F,Lombardia,Nord
Politecnico di MILANO,ING-IND,CAVALLOTTI,Carlo,Milano,M,Lombardia,Nord
"ROMA \La Sapienza\\\\\""""",BIO,CAVALLOTTI,Carlo,Roma,M,Lazio,Centro
"ROMA \Tor Vergata\\\\\""""",M-STO,CAVALLOTTO,Stefano,Roma,M,Lazio,Centro
BOLOGNA,MAT,CAVALLUCCI,Angelo,Bologna,M,Emilia-Romagna,Nord
BARI,CHIM,CAVALLUZZI,Maria Maddalena,Bari,F,Puglia,Sud
BARI,L-FIL-LET,CAVALLUZZI,Raffaele,Bari,M,Puglia,Sud
TORINO,MED,CAVALOT,Andrea Luigi,Torino,M,Piemonte,Nord
BOLOGNA,M-PED,CAVANA,Laura,Bologna,F,Emilia-Romagna,Nord
"Libera Univ. \Maria SS.Assunta\\-LUMSA - ROMA\\\""""",IUS,CAVANA,Paolo,Roma,M,Lazio,Centro
BOLOGNA,AGR,CAVANI,Claudio,Bologna,M,Emilia-Romagna,Nord
BOLOGNA,CHIM,CAVANI,Fabrizio,Bologna,M,Emilia-Romagna,Nord
BOLOGNA,AGR,CAVANI,Luciano,Bologna,M,Emilia-Romagna,Nord
MODENA e REGGIO EMILIA,BIO,CAVANI,Francesco,Modena,M,Emilia-Romagna,Nord
MODENA e REGGIO EMILIA,IUS,CAVANI,Giovanni,Modena,M,Emilia-Romagna,Nord
GENOVA,M-PSI,CAVANNA,Donatella,Genova,F,Liguria,Nord
L AQUILA,FIS,CAVANNA,Flavio,Aquila,M,Abruzzo,Sud
TORINO,IUS,CAVANNA,Maurizio,Torino,M,Piemonte,Nord
UDINE,MED,CAVARAPE,Alessandro,Udine,M,Friuli-Venezia-Giulia,Nord
VERONA,SPS,CAVARERO,Adriana,Verona,F,Veneto,Nord
MODENA e REGGIO EMILIA,MED,CAVARRA,Berenice,Modena,F,Emilia-Romagna,Nord
