Institution,Discipline,Last,First,City,Gender,Region,Macro
MESSINA,FIS,ABRAMO,Maria Concetta,Messina,F,Sicilia,Sicilia
PISA,VET,ABRAMO,Francesca,Pisa,F,Toscana,Centro
UDINE,ING-INF,ABRAMO,Antonio,Udine,M,Friuli-Venezia-Giulia,Nord
SIENA,ING-INF,ABRARDO,Andrea,Siena,M,Toscana,Centro
PIEMONTE ORIENTALE,SECS-P,ABRATE,Graziano,Vercelli,M,Piemonte,Nord
BOLOGNA,IUS,ABRESCIA,Michele,Bologna,M,Emilia-Romagna,Nord
"NAPOLI \Federico II\\\\\""""",BIO,ABRESCIA,Paolo,Napoli,M,Campania,Sud
FIRENZE,IUS,ABRIANI,Niccolo,Firenze,M,Toscana,Centro
ROMA TRE,M-FIL,ABRUSCI,Vito Michele,Roma,M,Lazio,Centro
IULM - MILANO,SPS,ABRUZZESE,Alberto,Milano,M,Lombardia,Nord
PALERMO,MED,ABRUZZESE,Giovanni,Palermo,M,Sicilia,Sicilia
"ROMA \Tor Vergata\\\\\""""",ICAR,ABRUZZESE,Donato,Roma,M,Lazio,Centro
PISA,IUS,ABUAWWAD,Amal,Pisa,F,Toscana,Centro
"NAPOLI \Federico II\\\\\""""",FIS,ABUDFILHO,Mario,Napoli,M,Campania,Sud
"ROMA \Tor Vergata\\\\\""""",MAT,ABUNDO,Mario Rosalino,Roma,M,Lazio,Centro
S. Raffaele MILANO,M-PSI,ABUTALEBI,Jubin,Milano,M,Lombardia,Nord
"NAPOLI \Federico II\\\\\""""",MED,ACAMPORA,Antonio,Napoli,M,Campania,Sud
BASILICATA,L-ART,ACANFORA,Elisa,Potenza,F,Basilicata,Sud
FIRENZE,MED,ACANFORA,Luisa,Firenze,F,Toscana,Centro
Seconda Univ. NAPOLI,MAT,ACANFORA,Fausto,Napoli,M,Campania,Sud
"ROMA \La Sapienza\\\\\""""",L-FIL-LET,ACCAME,Maria,Roma,F,Lazio,Centro
"ROMA \Tor Vergata\\\\\""""",SECS-S,ACCARDI,Luigi,Roma,M,Lazio,Centro
CAGLIARI,M-STO,ACCARDO,Aldo,Cagliari,M,Sardegna,Sardegna
"NAPOLI \Federico II\\\\\""""",ING-IND,ACCARDO,Domenico,Napoli,M,Campania,Sud
"ROMA \La Sapienza\\\\\""""",L-LIN,ACCARDO,Annalucia,Roma,F,Lazio,Centro
Seconda Univ. NAPOLI,MED,ACCARDO,Marina,Napoli,F,Campania,Sud
TRIESTE,ING-INF,ACCARDO,Agostino,Trieste,M,Friuli-Venezia-Giulia,Nord
FIRENZE,M-FIL,ACCARINO,Bruno,Firenze,M,Toscana,Centro
"ROMA \La Sapienza\\\\\""""",MAT,ACCASCINA,Giuseppe,Roma,M,Lazio,Centro
"ROMA \La Sapienza\\\\\""""",ICAR,ACCASTO,Gian Mario,Roma,M,Lazio,Centro
TRIESTE,M-STO,ACCATILEVI,Luisa,Trieste,F,Friuli-Venezia-Giulia,Nord
"ROMA \La Sapienza\\\\\""""",ICAR,ACCATTATISM.,Franco Domenico,Roma,M,Lazio,Centro
PIEMONTE ORIENTALE,M-FIL,ACCATTINO,Paolo,Vercelli,M,Piemonte,Nord
"ROMA \Tor Vergata\\\\\""""",IUS,ACCETTELLA,Francesco,Roma,M,Lazio,Centro
PERUGIA,SECS-S,ACCIAIO,Beatrice,Perugia,F,Umbria,Centro
FIRENZE,AGR,ACCIAIOLI,Anna,Firenze,F,Toscana,Centro
BARI,L-FIL-LET,ACCIANI,Antonia,Bari,F,Puglia,Sud
BARI,AGR,ACCIANI,Claudio,Bari,M,Puglia,Sud
